id,name,address,ip
00000,Лапина Ксения Борисовна,"г. Сибай, ул. 50 лет ВЛКСМ, д. 51 к. 1/6, 258174",71.252.175.46
00001,Кононова Фёкла Кузьминична,"клх Крымск, алл. Нагорная, д. 11, 656633",151.159.92.194
00002,Шарова Екатерина Семеновна,"п. Сунтар, пер. Петровский, д. 673 стр. 7, 591361",112.98.3.69
00003,Лукин Андрон Изотович,"с. Пушкино (Моск.), пер. Славянский, д. 9 к. 255, 124020",87.177.167.84
00004,Кулакова Фёкла Святославовна,"с. Макаров, ш. Красина, д. 479 стр. 76, 581139",163.186.135.116
00005,Панфил Фомич Панфилов,"с. Кингисепп, ш. Володарского, д. 173, 680306",120.150.158.135
00006,Милан Валерианович Родионов,"п. Катайск, наб. Сельская, д. 669 к. 2/8, 122023",35.113.4.156
00007,Николаева Милица Васильевна,"д. Горячинск, пер. Большой, д. 918, 401564",172.9.213.133
00008,Эмилия Кузьминична Яковлева,"ст. Кетченеры, наб. Средняя, д. 72 стр. 84, 170186",170.99.139.163
00009,тов. Стрелков Филимон Фролович,"д. Новосибирск, ул. Матросова, д. 24, 380637",218.45.52.63
